Subject Name,Scientific Name,Num. of Counties,Habit
oppositeleaf Russian thistle,Salsola soda L.,9,Forbs/Herbs
Russian thistle,Salsola tragus L.,1131,Forbs/Herbs
Mediterranean sage,Salvia aethiopis L.,49,Forbs/Herbs
sticky sage,Salvia glutinosa L.,3,Forbs/Herbs
meadow sage,Salvia pratensis L.,7,Forbs/Herbs
Europe sage,Salvia sclarea L.,9,Forbs/Herbs
water fern,Salvinia minima Baker,144,Aquatic Plants
giant salvinia,Salvinia molesta D. S. Mitchell,113,Aquatic Plants
raintree,Samanea saman (Jacq.) Merr.,4,Hardwood Trees
iguanatail,Sansevieria hyacinthoides (L.) Druce,25,Forbs/Herbs
bouncingbet,Saponaria officinalis L.,1652,Forbs/Herbs
mourningbride,Scabiosa atropurpurea L.,35,Forbs/Herbs
beach naupaka,Scaevola taccada Vahl,25,Shrub or Subshrub
octopus tree,Schefflera actinophylla (Endl.) H.A.T. Harms,26,Hardwood Trees
Peruvian peppertree,Schinus molle L.,135,Hardwood Trees
Brazilian peppertree,Schinus terebinthifolia Raddi,71,Hardwood Trees
Arabian schismus,Schismus arabicus Nees,45,Grass or Grasslike
common mediterraneangrass,Schismus barbatus (Loefl. ex L.) Thellung,42,Grass or Grasslike
Colombian bluestem,Schizachyrium condensatum (Kunth) Nees,4,Grass or Grasslike
ricefield bulrush,Schoenoplectiella mucronata (L.) J. Jung & H. K. Choi,34,Grass or Grasslike
squill,Scilla siberica Haw.,131,Forbs/Herbs
Eggers' nutrush,Scleria eggersiana Boeckeler,2,Grass or Grasslike
lakeshore nutrush,Scleria lacustris C. Wright,18,Grass or Grasslike
tropical nutrush,Scleria microcarpa Nees ex Kunth,7,Grass or Grasslike
common goldenthistle,Scolymus hispanicus L.,4,Forbs/Herbs
cereal rye,Secale cereale L.,496,Grass or Grasslike
chayote,Sechium edule (Jacq.) Sw.,9,Vines
purple crown-vetch,Securigera varia (L.) Lassen,1228,Forbs/Herbs
stringy stonecrop,Sedum sarmentosum Bunge,54,Forbs/Herbs
princess of the night,Selenicereus pteranthus (Link ex A. Dietr.) Britton & Rose,6,Shrub or Subshrub
redpurple ragwort,Senecio elegans L.,3,Forbs/Herbs
cutleaf burnweed,Senecio glomeratus Des. ex Poir.,11,Forbs/Herbs
fireweed groundsel,Senecio linearifolius A.Rich.,2,Forbs/Herbs
Australian burnweed,Senecio minimus Poir.,28,Forbs/Herbs
woodland groundsel,Senecio sylvaticus L.,85,Forbs/Herbs
common groundsel,Senecio vulgaris L.,663,Forbs/Herbs
sicklepod,Senna obtusifolia (L.) Irwin & Barneby,495,Forbs/Herbs
coffee senna,Senna occidentalis (L.) Link,197,Forbs/Herbs
valamuerto,Senna pendula (Humb. & Bonpl. ex Willd.) Irwin & Barneby,25,Vines
valamuerto,Senna pendula var. advena (Vogel) Irwin & Barneby,5,Vines
valamuerto,Senna pendula var. glabrata (Vogel) Irwin & Barneby,28,Vines
hedionda macho,Senna septemtrionalis (Viviani) Irwin & Barneby,4,Hardwood Trees
glossy shower,Senna surattensis (Burm. f.) Irwin & Barneby,5,Hardwood Trees
bigpod sesbania,Sesbania herbacea (P. Mill.) McVaugh,277,Forbs/Herbs
red sesbania,Sesbania punicea (Cav.) Benth.,250,Shrub or Subshrub
bagpod,Sesbania vesicaria (Jacq.) Ell.,239,Forbs/Herbs
giant foxtail,Setaria faberi Herrm.,1082,Grass or Grasslike
foxtail millet,Setaria italica (L.) Beauv.,351,Grass or Grasslike
palmgrass,Setaria palmifolia (Koenig) Stapf,9,Grass or Grasslike
knotroot foxtail,Setaria parviflora (Poir.) Kerguélen,1009,Grass or Grasslike
yellow foxtail,Setaria pumila (Poir.) Roemer & J.A. Schultes,1788,Grass or Grasslike
yellow foxtail,Setaria pumila ssp. pumila (Poir.) Roem. & Schult.,63,Grass or Grasslike
bristly foxtail,Setaria verticillata (L.) Beauv.,466,Grass or Grasslike
green foxtail,Setaria viridis (L.) Beauv.,1822,Grass or Grasslike
green bristlegrass,Setaria viridis var. viridis (L.) P. Beauv.,1664,Grass or Grasslike
field madder,Sherardia arvensis L.,594,Forbs/Herbs
sida,Sida planicaulis Cav.,3,Forbs/Herbs
common St. Paul's wort,Sigesbeckia orientalis L.,6,Forbs/Herbs
rose campion,Silene coronaria (L.) Clairv.,40,Forbs/Herbs
meadow campion,Silene flos-cuculi (L.) Clairv.,102,Forbs/Herbs
English catchfly,Silene gallica L.,153,Forbs/Herbs
white campion,Silene latifolia Poir.,1189,Forbs/Herbs
white cockle,Silene latifolia ssp. alba (Mill.) Greuter & Burdet,922,Forbs/Herbs
nightflowering catchfly,Silene noctiflora L.,422,Forbs/Herbs
bladder campion,Silene vulgaris (Moench) Garcke,731,Forbs/Herbs
cup rosinweed,Silphium perfoliatum L.,622,Forbs/Herbs
"blessed milkthistle, milk thistle",Silybum marianum (L.) Gaertn.,174,Forbs/Herbs
wild mustard,Sinapis arvensis L.,1032,Forbs/Herbs
tumble mustard,Sisymbrium altissimum L.,1141,Forbs/Herbs
London rocket,Sisymbrium irio L.,154,Forbs/Herbs
hedge mustard,Sisymbrium officinale (L.) Scop.,1116,Forbs/Herbs
oriental mustard,Sisymbrium orientale L.,39,Forbs/Herbs
American black nightshade,Solanum americanum P. Mill.,170,Shrub or Subshrub
New Zealand nightshade,Solanum aviculare G. Forst.,14,Shrub or Subshrub
horsenettle,Solanum carolinense L.,1399,Forbs/Herbs
twoleaf nightshade,Solanum diphyllum L.,30,Forbs/Herbs
bittersweet nightshade,Solanum dulcamara L.,983,Vines
climbing nightshade,Solanum dulcamara var. dulcamara L.,63,Shrub or Subshrub
silverleaf nightshade,Solanum elaeagnifolium Cavanaugh,515,Forbs/Herbs
nightshade,Solanum L.,4,Forbs/Herbs
purple African nightshade,Solanum marginatum L. f.,12,Shrub or Subshrub
black nightshade,Solanum nigrum L.,139,Shrub or Subshrub
hairy nightshade,Solanum physalifolium Rusby,281,Forbs/Herbs
currant tomato,Solanum pimpinellifolium Jusl.,4,Forbs/Herbs
Jerusalem-cherry,Solanum pseudocapsicum L.,61,Shrub or Subshrub
buffalobur,Solanum rostratum Dunal,218,Forbs/Herbs
Brazilian nightshade,Solanum seaforthianum Andr.,22,Vines
wetland nightshade,Solanum tampicense Dunal,18,Vines
turkeyberry,Solanum torvum Sw.,19,Forbs/Herbs
cutleaf nightshade,Solanum triflorum Nutt.,351,Forbs/Herbs
tropical soda apple,Solanum viarum Dunal,216,Shrub or Subshrub
Canada goldenrod,Solidago canadensis var. scabra Torr. & Gray,0,Forbs/Herbs
lawn burweed,Soliva sessilis Ruiz & Pavón,191,Forbs/Herbs
perennial sowthistle,Sonchus arvensis L.,1056,Forbs/Herbs
field sowthistle,Sonchus arvensis ssp. arvensis L.,299,Forbs/Herbs
moist sowthistle,Sonchus arvensis ssp. uliginosus (M. Bieb.) Nyman,336,Forbs/Herbs
spiny sowthistle,Sonchus asper (L.) Hill,1903,Forbs/Herbs
sowthistle,Sonchus L.,40,Forbs/Herbs
annual sowthistle,Sonchus oleraceus L.,1389,Forbs/Herbs
false spiraea,Sorbaria sorbifolia (L.) A. Braun,202,Shrub or Subshrub
European mountain-ash,Sorbus aucuparia L.,269,Hardwood Trees
sorghum (type unspecified),Sorghum bicolor (L.) Moench,613,Grass or Grasslike
sudangrass,Sorghum bicolor ssp. drummondii (Nees ex Steud.) de Wet & Harlan,57,Grass or Grasslike
johnsongrass,Sorghum halepense (L.) Pers.,1828,Grass or Grasslike
smooth cordgrass,Spartina alterniflora Loisel.,177,Grass or Grasslike
common cordgrass,Spartina anglica C.E. Hubbard,12,Grass or Grasslike
denseflower cordgrass,Spartina densiflora Brongn.,17,Grass or Grasslike
cordgrass hybrid,Spartina foliosa x alterniflora,2,Grass or Grasslike
saltmeadow cordgrass,Spartina patens (Ait.) Muhl.,183,Grass or Grasslike
Spanish broom,Spartium junceum L.,73,Shrub or Subshrub
African tuliptree,Spathodea campanulata Beauv.,10,Hardwood Trees
Philippine ground orchid,Spathoglottis plicata Blume,8,Forbs/Herbs
corn spurry,Spergula arvensis L.,363,Forbs/Herbs
Morison's spurry,Spergula morisonii Boreau,4,Forbs/Herbs
shrubby false buttonweed,Spermacoce verticillata L.,28,Shrub or Subshrub
swainsonpea,Sphaerophysa salsula (Pallas) DC.,79,Shrub or Subshrub
Bay Biscayne creeping-oxeye,Sphagneticola trilobata (L.C. Rich.) Pruski,54,Forbs/Herbs
Japanese spiraea,Spiraea japonica L. f.,211,Shrub or Subshrub
fortune meadowsweet,Spiraea japonica var. fortunei (Planch.) Rehder,94,Shrub or Subshrub
bridalwreath spiraea,Spiraea prunifolia Sieb. & Zucc.,134,Shrub or Subshrub
Thunberg's meadowsweet,Spiraea thunbergii Sieb. ex Blume,43,Shrub or Subshrub
purple mombin,Spondias purpurea L.,2,Hardwood Trees
tussock dropseed,Sporobolus diandrus (Retz.) P. Beauv.,19,Grass or Grasslike
smutgrass,Sporobolus indicus (L.) R. Br.,527,Grass or Grasslike
rat-tail grass,Sporobolus indicus var. capensis Engelm.,4,Grass or Grasslike
West Indian dropseed,Sporobolus indicus var. pyramidalis (P. Beauv.) Veldkamp,0,Grass or Grasslike
fieldnettle betony,Stachys arvensis (L.) L.,28,Forbs/Herbs
Florida betony,Stachys floridana Shuttlw. ex Benth.,193,Forbs/Herbs
cayenne porterweed,Stachytarpheta cayennensis (Rich.) Vahl,13,Forbs/Herbs
Jamaica vervain,Stachytarpheta jamaicensis (L.) Vahl,20,Forbs/Herbs
nettleleaf velvetberry,Stachytarpheta urticifolia Sims,7,Shrub or Subshrub
little starwort,Stellaria graminea L.,494,Forbs/Herbs
common chickweed,Stellaria media (L.) Vill.,1918,Forbs/Herbs
common chickweed,Stellaria media ssp. media (L.) Vill.,0,Forbs/Herbs
common chickweed,Stellaria pallida (Dumort.) Crépin,1838,Forbs/Herbs
St. Augustinegrass,Stenotaphrum secundatum (Walt.) Kuntze,196,Grass or Grasslike
Mediterranean needlegrass,Stipa capensis Thunb.,2,Grass or Grasslike
witchweed,Striga asiatica (L.) Kuntze,18,Forbs/Herbs
African mustard,Strigosella africana (L.) Botsch.,98,Forbs/Herbs
Japanese pagoda tree,Styphnolobium japonicum (L.) Schott,5,Hardwood Trees
queen palm,Syagrus romanzoffiana (Cham.) Glassman,32,Hardwood Trees
common comfrey,Symphytum officinale L.,280,Forbs/Herbs
nodeweed,Synedrella nodiflora (L.) Gaertn.,9,Forbs/Herbs
American evergreen,Syngonium podophyllum Schott,36,Vines
common lilac,Syringa vulgaris L.,352,Shrub or Subshrub
Java plum,Syzygium cumini (L.) Skeels,25,Hardwood Trees
Malabar plum,Syzygium jambos (L.) Alston,16,Hardwood Trees
white cedar,Tabebuia heterophylla (DC.) Britt.,5,Hardwood Trees
medusahead,Taeniatherum caput-medusae (L.) Nevski,144,Grass or Grasslike
wild marigold,Tagetes minuta L.,87,Forbs/Herbs
sea hibiscus,Talipariti tiliaceum var. tiliaceum L.,18,Shrub or Subshrub
African tamarisk,Tamarix africana Poir.,10,Hardwood Trees
Athel tamarisk,Tamarix aphylla (L.) Karst.,58,Hardwood Trees
fivestamen tamarisk,Tamarix chinensis Lour.,463,Hardwood Trees
French tamarisk,Tamarix gallica L.,91,Shrub or Subshrub
smallflower tamarisk,Tamarix parviflora DC.,151,Hardwood Trees
saltcedar,Tamarix ramosissima Ledeb.,500,Hardwood Trees
common tansy,Tanacetum vulgare L.,1036,Forbs/Herbs
rock dandelion,Taraxacum erythrospermum Andrz. ex Besser,750,Forbs/Herbs
dandelion,Taraxacum officinale G.H. Weber ex Wiggers,2394,Forbs/Herbs
Japanese yew,Taxus cuspidata Sieb. & Zucc.,27,Conifer Trees
incised halberd fern,Tectaria incisa Cav.,8,Forbs/Herbs
tropical almond,Terminalia catappa L.,17,Shrub or Subshrub
Australian almond,Terminalia muelleri Benth.,9,Hardwood Trees
East Indian almond,Terminalia myriocarpa van Heurck & Muell.-Arg.,4,Hardwood Trees
bee-bee tree,Tetradium daniellii (Benn.) T.G. Hartley,8,Shrub or Subshrub
New Zealand spinach,Tetragonia tetragonioides (Pallas) Kuntze,36,Shrub or Subshrub
jeweled maiden fern,Thelypteris opulenta (Kaulf.) Fosberg,0,Forbs/Herbs
portia tree,Thespesia populnea (L.) Soland. ex Correa,21,Hardwood Trees
intermediate wheatgrass,Thinopyrum intermedium (Host) Barkworth & D.R. Dewey,322,Grass or Grasslike
Russian wheatgrass,Thinopyrum junceiforme (A. Löve & D. Löve) A. Löve,0,Grass or Grasslike
tall wheatgrass,Thinopyrum ponticum (Podp.) Z.-W. Liu & R.-C. Wang,254,Grass or Grasslike
roadside pennycress,Thlaspi alliaceum L.,4,Forbs/Herbs
field pennycress,Thlaspi arvense L.,1429,Forbs/Herbs
blackeyed Susan vine,Thunbergia alata Bojer ex Sims,39,Vines
Bengal trumpet,Thunbergia grandiflora Roxb.,7,Vines
laurel clockvine,Thunbergia laurifolia Lindl.,4,Vines
spurge flax,Thymelaea passerina (L.) Coss. & Germ.,13,Forbs/Herbs
mother of thyme,Thymus praecox Opiz,0,Forbs/Herbs
herbaceous glorytree,Tibouchina herbacea (DC.) Cogn.,3,Shrub or Subshrub
princess-flower,Tibouchina urvilleana (DC.) Cogn.,13,Hardwood Trees
tree marigold,Tithonia diversifolia (Hemsl.) Gray,15,Forbs/Herbs
Australian redcedar,Toona ciliata Roemer,4,Hardwood Trees
spreading hedgeparsley,Torilis arvensis (Huds.) Link,698,Forbs/Herbs
spreading hedgeparsley,Torilis arvensis ssp. arvensis (Huds.) Link,588,Forbs/Herbs
"Japanese hedge-parsley, erect hedgeparsley",Torilis japonica (Houtt.) DC.,303,Forbs/Herbs
eastern poison-ivy,Toxicodendron radicans (L.)Kuntze,1659,Vines
white-flowered spiderwort,Tradescantia fluminensis Vell.,67,Forbs/Herbs
boatlily,Tradescantia spathacea Sw.,25,Forbs/Herbs
inchplant,Tradescantia zebrina hort. ex Bosse,24,Forbs/Herbs
western salsify,Tragopogon dubius Scop.,1493,Forbs/Herbs
meadow salsify,Tragopogon lamottei L.,638,Forbs/Herbs
common salsify,Tragopogon porrifolius L.,481,Forbs/Herbs
two-horned trapa,Trapa bispinosa var. iinumai Nakano,17,Forbs/Herbs
water chestnut,Trapa L.,6,Aquatic Plants
European water chestnut,Trapa natans L.,122,Aquatic Plants
oriental trema,Trema orientalis (L.) Blume,7,Hardwood Trees
Chinese tallowtree,Triadica sebifera (L.) Small,531,Hardwood Trees
Jamaica feverplant,Tribulus cistoides L.,31,Vines
puncturevine,Tribulus terrestris L.,864,Vines
rabbitfoot clover,Trifolium arvense L.,841,Forbs/Herbs
hop clover,Trifolium aureum Pollich,575,Forbs/Herbs
large hop clover,Trifolium campestre Schreb.,1394,Forbs/Herbs
small hop clover,Trifolium dubium Sibthorp,744,Forbs/Herbs
rose clover,Trifolium hirtum All.,57,Forbs/Herbs
alsike clover,Trifolium hybridum L.,1335,Forbs/Herbs
crimson clover,Trifolium incarnatum L.,502,Forbs/Herbs
red clover,Trifolium pratense L.,2327,Forbs/Herbs
white clover,Trifolium repens L.,2538,Forbs/Herbs
Persian clover,Trifolium resupinatum L.,16,Forbs/Herbs
subterranean clover,Trifolium subterraneum L.,27,Forbs/Herbs
ravennagrass,Tripidium ravennae (L.) H. Scholz,20,Grass or Grasslike
"mayweed, scentless chamomile",Tripleurospermum inodorum (L.) Sch. Bip.,330,Forbs/Herbs
false mayweed,Tripleurospermum maritimum (L.) W.D.J. Koch,1,Forbs/Herbs
Sacramento burrbark,Triumfetta semitriloba Jacq.,18,Shrub or Subshrub
coltsfoot,Tussilago farfara L.,527,Forbs/Herbs
narrow-leaved cattail,Typha angustifolia L.,1004,Aquatic Plants
common cattail,Typha latifolia L.,382,Forbs/Herbs
hybrid cattail,Typha x glauca Godr. [angustifolia x latifolia],183,Aquatic Plants
"gorse, common gorse",Ulex europaeus L.,72,Shrub or Subshrub
Chinese elm,Ulmus parvifolia Jacq.,98,Hardwood Trees
English elm,Ulmus procera Salisb.,55,Hardwood Trees
Siberian elm,Ulmus pumila L.,882,Hardwood Trees
Asian kelp,Undaria pinnatifida (Harvey) Suringar,7,Aquatic Plants
Caesarweed,Urena lobata L.,53,Forbs/Herbs
tropical signalgrass,Urochloa distachyos (L.) T.Q.Nguyen,29,Grass or Grasslike
paragrass,Urochloa mutica (Forsk.) T.Q. Nguyen,75,Grass or Grasslike
stinging nettle,Urtica dioica L.,1501,Forbs/Herbs
European stinging nettle,Urtica dioica ssp. dioica L.,62,Forbs/Herbs
floating bladderwort,Utricularia inflata Walter,9,Forbs/Herbs
common valerian,Valeriana officinalis L.,254,Forbs/Herbs
ventenata,Ventenata dubia (Leers) Coss. & Durieu,89,Grass or Grasslike
moth mullein,Verbascum blattaria L.,1309,Forbs/Herbs
common mullein,Verbascum thapsus L.,2349,Forbs/Herbs
tall vervain,Verbena bonariensis L.,262,Forbs/Herbs
purpletop vervain,Verbena incompta P. W. Michael,428,Forbs/Herbs
Uruguayan vervain,Verbena montevidensis Spreng.,430,Forbs/Herbs
crownbeard,Verbesina encelioides (Cav.) Benth. & Hook. f. ex Gray,346,Forbs/Herbs
tungoil tree,Vernicia fordii (Hemsl.) Airy-Shaw,99,Hardwood Trees
water speedwell,Veronica anagallis-aquatica L.,936,Forbs/Herbs
corn speedwell,Veronica arvensis L.,1614,Forbs/Herbs
European speedwell,Veronica beccabunga L.,75,Forbs/Herbs
twolobe speedwell,Veronica biloba L.,96,Forbs/Herbs
germander speedwell,Veronica chamaedrys L.,153,Forbs/Herbs
slender speedwell,Veronica filiformis Sm.,14,Forbs/Herbs
ivyleaf speedwell,Veronica hederifolia L.,301,Forbs/Herbs
longleaf speedwell,Veronica longifolia L.,114,Forbs/Herbs
common gypsyweed,Veronica officinalis var. officinalis L.,0,Forbs/Herbs
Persian speedwell,Veronica persica Poir.,230,Forbs/Herbs
wayside speedwell,Veronica polita Fr.,17,Forbs/Herbs
thymeleaf speedwell,Veronica serpyllifolia L.,1022,Forbs/Herbs
thymeleaf speedwell,Veronica serpyllifolia ssp. serpyllifolia L.,526,Forbs/Herbs
linden viburnum,Viburnum dilatatum Thunb.,54,Shrub or Subshrub
wayfaringtree,Viburnum lantana L.,103,Hardwood Trees
European cranberrybush,Viburnum opulus L.,587,Hardwood Trees
"cranberry viburnum, European highbush cranberry",Viburnum opulus ssp. opulus Linnaeus,265,Shrub or Subshrub
Japanese snowball,Viburnum plicatum Thunb.,53,Shrub or Subshrub
doublefile viburnum,Viburnum plicatum tomentosum Miq.,13,Shrub or Subshrub
tea viburnum,Viburnum setigerum Hance,14,Shrub or Subshrub
Siebold's arrowwood,Viburnum sieboldii Miq.,51,Hardwood Trees
laurustinus,Viburnum tinus L.,5,Shrub or Subshrub
bird vetch,Vicia cracca L.,458,Vines
bird vetch,Vicia cracca ssp. cracca L.,58,Forbs/Herbs
large yellow vetch,Vicia grandiflora Scop.,10,Vines
tiny vetch,Vicia hirsuta (L.) S.F. Gray,13,Vines
vetch,Vicia L.,2,Vines
common vetch,Vicia sativa Linnaeus,1204,Forbs/Herbs
garden vetch,Vicia sativa ssp. nigra (L.) Ehrh.,676,Vines
garden vetch,Vicia sativa ssp. sativa L.,23,Forbs/Herbs
bush vetch,Vicia sepium var. sepium L.,0,Forbs/Herbs
sparrow vetch,Vicia tetrasperma (L.) Schreb.,250,Vines
hairy vetch,Vicia villosa Roth,1735,Vines
winter vetch,Vicia villosa ssp. varia (Host) Corb.,30,Vines
winter vetch,Vicia villosa ssp. villosa Roth,27,Forbs/Herbs
big periwinkle,Vinca major L.,501,Vines
common periwinkle,Vinca minor L.,950,Forbs/Herbs
white swallowwort,Vincetoxicum hirundinaria Medik.,8,Vines
exotic swallowwort,Vincetoxicum L.,58,Vines
"black dog-strangling vine, black swallowwort",Vincetoxicum nigrum (L.) Moench,321,Vines
"dog-strangling vine, European swallowwort, pale swallow-wort",Vincetoxicum rossicum (Kleopov) Barbarich,112,Vines
English violet,Viola odorata L.,98,Forbs/Herbs
lilac chastetree,Vitex agnus-castus L.,157,Shrub or Subshrub
beach vitex,Vitex rotundifolia L. f.,31,Shrub or Subshrub
simpleleaf chastetree,Vitex trifolia L.,23,Vines
grape,Vitis L.,3,Vines
wine grape,Vitis vinifera L.,39,Vines
Egyptian knapweed,Volutaria tubuliflora (Murb.),0,Forbs/Herbs
squirreltail fescue,Vulpia bromoides (L.) S.F. Gray,196,Grass or Grasslike
rattail fescue,Vulpia myuros (L.) K.C. Gmel.,504,Grass or Grasslike
Washington fan palm,Washingtonia robusta H. Wendl.,40,Hardwood Trees
cape bugle-lily,Watsonia borbonica (Pourret) Goldblatt,2,Forbs/Herbs
bulbil bugle-lily,Watsonia meriana (L.) P. Mill.,11,Forbs/Herbs
Japanese wisteria,Wisteria floribunda (Willd.) DC.,195,Vines
Chinese wisteria,Wisteria sinensis (Sims) DC.,620,Vines
Wisteria floribunda x sinensis hybrid,Wisteria x formosa [floribunda x sinensis],29,Vines
spiny cocklebur,Xanthium spinosum L.,249,Forbs/Herbs
arrowleaf elephant's ear,Xanthosoma sagittifolium (L.) Schott,50,Forbs/Herbs
Asiatic hawksbeard,Youngia japonica (L.) DC.,254,Forbs/Herbs
calla lily,Zantedeschia aethiopica (L.) Spreng.,44,Forbs/Herbs
prickly-ash,Zanthoxylum americanum P. Mill.,3,Hardwood Trees
Japanese zelkova,Zelkova serrata (Thunb.) Makino,13,Hardwood Trees
dwarf eelgrass,Zostera japonica Asch. & Graebn.,18,Forbs/Herbs
Syrian beancaper,Zygophyllum fabago L.,45,Shrub or Subshrub
